customer_id,first_name,last_name,email,phone,city,postal_code,registration_date,marketing_channel,loyalty_member,birth_date
30,Cezary,Kozaczuk, cezary.kozaczuk@gmail.com ,,Piła,24-280,2025-02-28,Google Ads,False,1992-11-02
31,Fabian,Boba,fabian.boba@gmail.com,394004945,Warszawa,45-007,2026-03-21,Meta Ads,False,1965-03-17
32,Julian,Matejuk,julian.matejuk@gmail.com,357460656,Poznań,85-411,2024-10-17,Meta Ads,False,1959-04-14
33,Antoni,Oleksiewicz,antoni.oleksiewicz@gmail.com,,Białystok,96-544,2025-09-27,Meta Ads,True,1966-12-30
34,Sandra,Chalimoniuk, sandra.chalimoniuk@gmail.com ,,Zielona Góra,44-162,2024-10-24,Newsletter,False,1975-03-17
35,Arkadiusz,Parzonka,arkadiusz.parzonka@wp.pl,,Radom,73-611,2026-06-22,Google Ads,False,1960-02-05
36,Mikołaj,Sulik,mikołaj.sulik@gmail.com,115 649 320,Piła,21-773,2026-02-02,Meta Ads,True,1988-05-04
37,Maksymilian,Białk,maksymilian.białk@gmail.com,350 525 383,Wrocław,57-678,2025-11-07,Newsletter,False,1978-01-25
38,Sara,Krężołek,sara.krężołek@gmail.com,658115805,Opole,35-221,2026-04-25,Google Ads,False,1995-08-10
39,Oliwier,Majerczyk,oliwier.majerczyk@gmail.com,703 317 348,Gdańsk,56-114,2025-11-20,Organic,False,1970-08-10
40,Tola,Łyczek,tola.łyczek@interia.pl,540545777,Zielona Góra,68-684,2026-07-15,Newsletter,False,1971-12-10
41,Borys,Drobik,borys.drobik@gmail.com,984 478 556,Poznań,77-057,2025-12-16,Google Ads,False,1956-01-01
42,Emil,Mzyk, emil.mzyk@o2.pl ,852-932-191,Kielce,99-141,2026-06-09,Newsletter,False,1996-02-05
43,Aleks,Skubis,aleks.skubis@gmail.com,,Piła,16-008,2025-09-10,Newsletter,True,1981-12-15
44,Kornelia,Chlebek,kornelia.chlebek@o2.pl,642-425-516,Radom,17-390,2024-11-18,Google Ads,True,1983-10-28
45,Olaf,Męcik,olaf.męcik@gmail.com,+48 952 510 495,Kraków,72-854,2025-09-05,Meta Ads,True,1991-01-01
46,Maks,Armatys,maks.armatys@gmail.com,527-962-850,Warszawa,51-883,2024-11-10,Google Ads,True,1994-12-04
47,Justyna,Wiatrak,justyna.wiatrak@o2.pl,932057193,Łódź,59-944,2025-11-24,Newsletter,False,1959-09-21
48,Jędrzej,Buszko,jędrzej.buszko@wp.pl,+48 426 892 064,Wrocław,55-588,2025-08-28,Meta Ads,False,1977-01-11
49,Urszula,Bartoś,urszula.bartoś@wp.pl,870726483,Radom,15-415,2025-11-27,Google Ads,False,1956-09-12
50,Arkadiusz,Nazar,arkadiusz.nazar@gmail.com,+48 637 234 222,Gdańsk,80-472,2024-09-19,Meta Ads,False,1999-09-11
51,Olgierd,Kopij,olgierd.kopij@wp.pl,304-444-329,Warszaw,56-865,2024-12-28,Organic,False,1961-03-16
52,Justyna,Kuczak,justyna.kuczak@wp.pl,937-090-600,Radom,52-537,2025-08-28,Google Ads,True,1959-10-06
53,Fabian,Pasieczna,fabian.pasieczna@gmail.com,+48 086 578 872,Kraków,44-227,2026-07-08,Meta Ads,False,1973-03-31
54,Alan,Jarczyk,alan.jarczyk@o2.pl,181 147 719,Kraków,66-649,2025-05-06,Referral,True,1961-08-21
55,Apolonia,Lemieszek,apolonia.lemieszek@wp.pl,101 188 522,Warszawa,45-360,2025-06-06,Newsletter,False,1994-02-23
56,Tymon,Księżak,tymon.księżak@gmail.com,254-757-846,Warszawa,14-150,2025-12-27,Referral,False,1969-02-28
57,Tymoteusz,Plona,tymoteusz.plona@wp.pl,810-098-193,Łódź,20-779,2025-11-07,Referral,True,1995-10-31
58,Igor,Wojtalik,igor.wojtalik@interia.pl,+48 877 632 024,Częstochowa,99-644,2025-03-12,Meta Ads,False,1981-10-13
59,Sylwia,Wiza,sylwia.wiza@gmail.com,,Katowice,75-460,2025-06-28,Organic,True,1991-09-12
60,Sylwia,Czuryło,sylwia.czuryło@gmail.com,017-505-634,Poznań,82-640,2024-12-20,Google Ads,False,1972-09-21
61,Jędrzej,Barteczko,jędrzej.barteczko@wp.pl,+48 745 657 591,Warszawa,57-070,2026-07-24,Influencer,False,1980-06-12
62,Emil,Wyroślak,emil.wyroślak@gmail.com,622 001 417,Kraków,36-606,2024-11-30,Meta Ads,True,1958-07-28
63,Dorota,Bródka,dorota.bródka@gmail.com,404-994-048,Warszawa,40-473,2025-05-09,Organic,False,1979-07-19
64,Adam,Bany,adam.bany@o2.pl,685-687-284,Poznań,37-079,2024-09-16,Influencer,False,1989-10-06
65,Tomasz,Grzelec,tomasz.grzelec@o2.pl,112-782-996,Warszawa,77-520,2024-12-19,Google Ads,False,1975-12-22
66,Elżbieta,Rębiś,elżbieta.rębiś@gmail.com,,Łódź,95-918,2026-02-16,Google Ads,False,1957-10-08
67,Anita,Ładniak,anita.ładniak@wp.pl,+48 611 330 070,Lublin,25-330,2024-12-26,Influencer,False,1987-08-30
68,Nela,Dawidczyk,nela.dawidczyk@gmail.com,869660130,warszawa,08-462,2024-10-27,Meta Ads,False,1961-01-29
69,Cyprian,Żelasko,cyprian.żelasko@wp.pl,658206266,Bydgoszcz,11-517,2025-07-10,Meta Ads,False,1989-11-03
70,Maciej,Powązka,maciej.powązka@onet.pl,493-684-978,Poznań,91-449,2024-09-23,Meta Ads,True,2008-02-13
71,Anna Maria,Zinkiewicz,anna maria.zinkiewicz@o2.pl,917-233-244,Warszawa,79-163,2024-11-16,Newsletter,True,1974-11-18
72,Ryszard,Księżyk,ryszard.księżyk@gmail.com,082 146 373,Kraków,53-794,2026-03-23,Google Ads,False,1973-07-12
73,Mikołaj,Imiela,mikołaj.imiela@onet.pl,120-830-154,Białystok,81-663,2026-02-14,Meta Ads,False,1973-05-01
74,Kornel,Klamka,kornel.klamka@gmail.com,304-852-367,Olsztyn,72-695,2026-06-19,Newsletter,False,1976-01-31
75,Iwo,Indyka,iwo.indyka@wp.pl,095294205,Kraków,85-988,2026-04-30,Organic,False,2003-08-19
76,Krystian,Borkiewicz,krystian.borkiewicz@wp.pl,,Toruń,11-597,2025-12-15,Meta Ads,False,1990-10-07
77,Nataniel,Korzekwa,nataniel.korzekwa@gmail.com,285459763,Częstochowa,84-716,2024-10-18,Newsletter,False,1990-09-09
78,Adrian,Kastelik,adrian.kastelik@gmail.com,716-043-240,Warszawa,91-961,2026-03-09,Google Ads,True,1960-02-01
79,Melania,Miękina,melania.miękina@gmail.com,,Gdynia,83-811,2026-04-25,Meta Ads,False,1973-01-01
80,Hubert,Posłuszna,hubert.posłuszna@interia.pl,+48 774 162 073,Warszawa,90-849,2026-03-09,Influencer,True,2005-10-17
81,Anna Maria,Deluga,anna maria.deluga@interia.pl,,Rzeszów,83-687,2025-09-26,Google Ads,True,1978-01-13
82,Olgierd,Gniewek,olgierd.gniewek@o2.pl,709-269-473,Kraków,47-317,2025-01-15,Meta Ads,True,1965-02-23
83,Bruno,Larysz,bruno.larysz@gmail.com,648980855,Gdańsk,99-498,2026-04-18,Organic,False,1965-10-09
84,Sebastian,Kowalak,sebastian.kowalak@gmail.com,+48 254 019 696,Pozznań,10-303,2026-01-28,Google Ads,False,2000-05-08
85,Oskar,Jędraszczyk,OSKAR.JĘDRASZCZYK@GMAIL.COM,093789683,Suwałki,99-553,2026-08-06,Meta Ads,True,1999-11-10
86,Anna Maria,Wdowczyk,anna maria.wdowczyk@wp.pl,285-588-556,Łódź,85-345,2024-11-04,Google Ads,False,2002-01-17
87,Adrian,Fryś,adrian.fryś@gmail.com,620-095-144,Warszawa,49-158,2025-01-06,Newsletter,False,1964-03-11
88,Leon,Hanzel,leon.hanzel@gmail.com,971 847 178,Łódź,277150,2024-12-07,Newsletter,False,1977-05-15
89,Marek,Kuska,marek.kuska@wp.pl,945268726,Kraków,79-292,2026-03-07,Referral,True,1995-06-22
90,Adrianna,Sztaba,adrianna.sztaba@wp.pl,161 097 761,Warszawa,69-245,2024-12-01,Newsletter,True,1971-12-30
91,Natasza,Wawrzyk,NATASZA.WAWRZYK@ONET.PL,177 834 664,Warszawa,25-377,2024-10-13,Google Ads,True,1991-07-19
92,Anita,Sulich,anita.sulich@o2.pl,,Konin,60-788,2026-08-06,Google Ads,True,1970-07-12
93,Fryderyk,Dudczak,fryderyk.dudczak@wp.pl,536 462 431,Warszawa,68-429,2024-09-25,Meta Ads,False,2006-10-22
94,Ksawery,Kara,ksawery.kara@gmail.com,,Szczecin,78-142,2026-04-29,Meta Ads,True,2001-11-12
95,Mikołaj,Walocha,mikołaj.walocha@gmail.com,656751451,Wrocław,62-896,2025-05-18,Google Ads,False,1975-04-09
96,Paweł,Mytnik,paweł.mytnik@wp.pl,,Warszawa,67-872,2026-04-07,Meta Ads,False,1962-03-15
97,Karol,Fuławka,karol.fuławka@gmail.com,+48 329 005 140,Poznań,21-280,2025-10-03,Meta Ads,False,1979-05-30
98,Ida,Chaber,ida.chaber@wp.pl,,Bydgoszcz,56-094,2026-05-20,Meta Ads,True,2005-10-03
99,Borys,Łaś,borys.łaś@o2.pl,706 566 088,Łódź,58-906,2026-06-04,Meta Ads,False,1974-02-14
100,Szymon,Sołek,szymon.sołek@wp.pl,334 600 602,Łódź,07-406,2024-09-02,Referral,True,1982-03-15
101,Marek,Chwalisz,marek.chwalisz@gmail.com,+48 621 192 682,Kraków,11-384,2024-10-29,Meta Ads,False,1967-06-30
102,Alex,Berg,alex.berg@gmail.com,681-721-128,Warszawa,92-666,2025-02-22,Organic,False,1973-05-13
103,Tymon,Matla,tymon.matla@wp.pl,195-594-672,Częstochowa,05-294,2025-12-26,Referral,False,2004-03-20
104,Natasza,Szeja,natasza.szeja@gmail.com,+48 405 710 758,Kraków,18-778,2026-05-23,Referral,False,1992-12-27
105,Adrianna,Zapora,adrianna.zapora@wp.pl,720850505,Warszawa,01-928,2025-07-05,Meta Ads,True,1959-10-17
106,Juliusz,Maruszczak,juliusz.maruszczak@gmail.com,601-446-074,Zielona Góra,20-562,2025-11-02,Referral,True,2005-06-05
107,Liwia,Szachniewicz,liwia.szachniewicz@interia.pl,,WWarszawa,15-795,2024-12-31,Newsletter,True,1970-11-12
108,Emil,Smutek,emil.smutek@gmail.com,752-215-165,Kraków,07-245,2026-03-03,Meta Ads,True,1977-11-05
109,Róża,Siedlaczek,róża.siedlaczek@wp.pl,040-502-233,wrocław,15-857,2026-07-05,Google Ads,False,2003-07-27
110,Gaja,Klejna,gaja.klejna@gmail.com,593031575,Warszawa,03-648,2025-02-07,Meta Ads,False,1982-11-29
111,Tadeusz,Budzeń,tadeusz.budzeń@wp.pl,977985108,Kielce,19-299,2025-08-17,Meta Ads,False,1978-05-06
112,Maks,Kopyt, maks.kopyt@onet.pl ,819495375,Suwałki,74-427,2024-11-22,Meta Ads,True,1965-07-10
113,Karol,Piaseczna,karol.piaseczna@o2.pl,+48 566 320 871,Lublin,47-070,2025-10-25,Meta Ads,True,2006-02-15
114,Inga,Kierat,inga.kierat@gmail.com,337-780-426,Warszawa,65-568,2025-09-07,Referral,True,1956-09-02
115,Natasza,Zdziech,natasza.zdziech@wp.pl,225 859 773,Warszawa,82-397,2024-11-24,Meta Ads,False,2007-08-04
116,Iwo,Piestrzeniewicz,iwo.piestrzeniewicz@onet.pl,082-927-382,Warszaw,03-366,2025-06-24,Meta Ads,False,1997-05-21
117,Mieszko,Gębura,mieszko.gębura@gmail.com,577 561 561,Warszawa,94-673,2025-04-08,Meta Ads,False,1988-11-22
118,Elżbieta,Reiter,ELŻBIETA.REITER@ONET.PL,,Warszawa,97-341,2025-09-27,Meta Ads,False,1962-08-31
119,Maks,Szatko,maks.szatko@o2.pl,115-923-472,Warszawa,44-834,2025-11-24,Google Ads,False,1989-08-30
120,Marcelina,Juraszczyk,marcelina.juraszczyk@onet.pl,710-301-572,Rzeszów,62-647,2024-09-16,Google Ads,False,1965-04-03
121,Łukasz,Pakosz,łukasz.pakosz@gmail.com,179650434,Częstochowa,715903,2026-02-01,Referral,False,2005-08-10
122,Piotr,Zapaśnik,piotr.zapaśnik@wp.pl,975074899,Łódź,26-045,2025-12-13,Google Ads,False,1997-07-11
123,Maciej,Piotrowiak,MACIEJ.PIOTROWIAK@INTERIA.PL,370 128 385,Warszawa,40-528,2025-05-21,Organic,False,1976-09-13
124,Inga,Winnik,inga.winnik@o2.pl,982 913 579,Lublin,33-038,2024-10-28,Influencer,False,1995-07-09
125,Rafał,Koleśnik,rafał.koleśnik@gmail.com,661136085,Suwałki,46-883,2026-02-06,Meta Ads,False,1996-12-24
126,Kornel,Leszczuk,kornel.leszczuk@gmail.com,,Toruń,16-819,2026-07-05,Organic,False,1975-02-06
127,Blanka,Bronka,blanka.bronka@gmail.com,,Gdynia,57-917,2025-01-26,Meta Ads,False,2006-04-16
128,Natan,Lenda,natan.lenda@interia.pl,594694317,Kraków,64-709,2025-03-07,Google Ads,False,1981-12-18
129,Eliza,Sadura,eliza.sadura@wp.pl,696-856-508,Łódź,11-745,2024-12-31,Google Ads,False,1978-02-03
130,Kornelia,Plona,kornelia.plona@gmail.com,408747516,Warszawa,24-559,2025-10-13,Google Ads,False,1971-03-02
131,Paweł,Kwinta,PAWEŁ.KWINTA@GMAIL.COM,661 155 972,Warszawa,42-677,2024-11-05,Meta Ads,False,1971-04-07
132,Adrianna,Piwowarek,adrianna.piwowarek@wp.pl,,Poznań,92-437,2025-04-27,Referral,False,1964-06-05
133,Sara,Wojtaszczyk,sara.wojtaszczyk@gmail.com,688093060,Kraków,58-044,2025-12-15,Google Ads,False,1994-02-12
134,Maks,Jantos,maks.jantos@wp.pl,441-722-044,Olsztyn,56-282,2025-10-31,Organic,False,1989-06-27
135,Adam,Drabczyk,adam.drabczyk@interia.pl,535 087 899,Lublin,86-653,2025-05-03,Referral,False,1977-02-14
136,Ida,Kara,ida.kara@gmail.com,291 401 939,Warszawa,96-696,2025-06-04,Organic,False,1964-01-28
137,Antoni,Boguta,antoniboguta@wp.pl,116 017 256,Warszawa,78-695,2025-10-12,Google Ads,True,1997-01-02
138,Filip,Byra, filip.byra@wp.pl ,209831359,Łódź,09-242,2024-09-02,Meta Ads,False,1996-11-09
139,Dariusz,Kucab,dariusz.kucab@gmail.com,599745908,Suwałki,50-973,2024-10-19,Organic,False,1985-08-29
140,Marcin,Stachewicz,marcin.stachewicz@o2.pl,915 747 624,Warszawa,58-972,2026-05-29,Meta Ads,False,1975-04-04
141,Sara,Fuławka,sara.fuławka@wp.pl,027907574,Kraków,10-588,2024-10-13,Organic,True,1962-11-22
142,Dariusz,Hejna,dariusz.hejna@wp.pl,,Lublin,41-666,2025-12-28,Newsletter,False,1970-05-14
143,Oliwier,Para,oliwier.para@wp.pl,+48 641 069 053,Poznań,95-191,2026-06-02,Organic,False,1982-01-16
144,Tobiasz,Mordal,tobiasz.mordal@gmail.com,578 919 879,Suwałki,16-269,2025-02-24,Newsletter,False,1996-09-01
145,Adrianna,Neska,adrianna.neska@wp.pl,+48 268 650 036,Łódź,79-293,2025-05-02,Influencer,False,1992-05-17
146,Marika,Pagacz,marika.pagacz@gmail.com,544591943,Warszawa,16-139,2025-10-21,Newsletter,False,2000-10-17
147,Aniela,Fedorczyk,aniela.fedorczyk@o2.pl,+48 169 571 835,Gorzów Wielkopolski,353162,2026-05-02,Influencer,True,2008-06-14
148,Alex,Grund,alex.grund@o2.pl,936-650-125,Warszawa,45-727,2026-06-06,Organic,False,1959-01-14
149,Rozalia,Pietrak,rozalia.pietrak@gmail.com,826 615 523,Częstochowa,39-872,2026-01-31,Organic,False,1963-12-11
150,Tymoteusz,Lulek,tymoteusz.lulek@gmail.com,635 394 931,Poznań,47-521,2024-11-28,Influencer,True,1967-06-25
151,Ksawery,Jenek,ksawery.jenek@o2.pl,+48 295 533 942,Suwałki,18-243,2025-12-01,Newsletter,False,1997-06-26
152,Szymon,Zegar,szymon.zegar@interia.pl,+48 216 165 591,Zielona Góra,71-587,2025-06-07,Organic,False,1975-02-23
153,Bianka,Fijoł,bianka.fijoł@wp.pl,033 021 822,Poznań,79-906,2025-07-27,Google Ads,False,1960-03-01
154,Fabian,Hejna,fabian.hejna@gmail.com,,Suwałki,92-737,2024-10-15,Google Ads,False,1980-12-18
155,Klara,Mandrysz,klara.mandrysz@onet.pl,071-421-858,Warszawa,53-844,2024-12-30,Google Ads,False,1986-01-24
156,Hubert,Zaucha,HUBERT.ZAUCHA@GMAIL.COM,574-421-433,Gdynia,83-076,2026-03-19,Google Ads,False,1979-06-12
157,Eliza,Natanek,eliza.natanek@onet.pl,536106909,Poznań,17-900,2025-07-26,Google Ads,False,1999-07-15
158,Bianka,Foit,bianka.foit@o2.pl,918-887-800,Łódź,76-187,2025-03-21,Newsletter,False,1996-04-15
159,Adrian,Poreda,adrian.poreda@onet.pl,853 594 489,Kraków,65-933,2025-05-26,Google Ads,False,2001-08-11
160,Marcel,Sito,marcel.sito@o2.pl,189 792 902,Wrocław,20-312,2026-04-04,Referral,True,1964-04-27
161,Kazimierz,Such,kazimierz.such@gmail.com,803 030 022,Warszawa,29-355,2026-02-12,Meta Ads,False,2005-10-24
162,Eliza,Cheba,eliza.cheba@gmail.com,+48 478 437 364,Olsztyn,37-867,2025-02-02,Google Ads,True,1959-10-10
163,Konrad,Kościuszko,konrad.kościuszko@wp.pl,+48 736 210 879,Warszawa,71-282,2024-11-07,Meta Ads,False,1962-03-25
164,Emil,Pasich,emil.pasich@wp.pl,993155678,Łódź,69-096,2025-02-22,Organic,True,1982-03-26
165,Alan,Huber,alan.huber@gmail.com,833-978-539,Wrocław,75-158,2026-06-21,Organic,False,1964-09-01
166,Natan,Kwapis,natan.kwapis@gmail.com,+48 203 859 471,Gorzów Wielkopolski,73-043,2025-10-19,Google Ads,True,1999-05-02
167,Antoni,Sacharczuk,antoni.sacharczuk@gmail.com,365 797 278,Katowice,06-972,2025-09-30,Organic,True,1989-08-04
168,Aurelia,Zygmuntowicz,aurelia.zygmuntowicz@gmail.com,+48 073 785 182,Kraków,84-216,2025-11-29,Organic,False,1996-03-30
169,Urszula,Prygiel,urszula.prygiel@wp.pl,678632597,Piła,82-032,2025-05-10,Meta Ads,False,1981-12-28
170,Inga,Wojciech,inga.wojciech@gmail.com,510812788,Zielona Góra,83-980,2026-03-06,Referral,False,1971-08-10
171,Andrzej,Sieczko,andrzej.sieczko@interia.pl,467 161 044,częstochowa,88-416,2025-09-20,Meta Ads,True,1971-05-12
172,Wojciech,Przeklasa,wojciech.przeklasa@o2.pl,,Warszawa,08-162,2024-11-04,Meta Ads,False,1978-11-23
173,Karina,Dłubak,karina.dłubak@gmail.com,375 429 722,warszawa,27-349,2024-11-18,Meta Ads,False,1987-10-01
174,Jędrzej,Kuźnia,jędrzej.kuźnia@o2.pl,717 212 766,Kielce,92-327,2025-09-19,Influencer,False,1994-07-05
175,Mieszko,Bełz,mieszko.bełz@gmail.com,081893378,Warszawa,17-779,2026-06-22,Organic,False,1975-03-27
176,Melania,Baszak,melania.baszak@interia.pl,009-124-333,Warszawa,41-248,2025-03-28,Meta Ads,True,1980-04-26
177,Cezary,Olearczyk,cezary.olearczyk@interia.pl,431240507,WWarszawa,32-145,2026-05-01,Google Ads,True,1960-09-22
178,Aleks,Biernacik,aleks.biernacik@gmail.com,139186078,Warszawa,79-429,2026-02-20,Google Ads,False,1968-10-02
179,Damian,Dąbroś,damian.dąbroś@wp.pl,447 635 732,Lublin,42-957,2025-02-27,Meta Ads,True,1986-03-19
180,Jędrzej,Warczak,jędrzej.warczak@wp.pl,577500975,Łódź,98-164,2024-09-03,Organic,True,1982-01-01
181,Ida,Tekieli,ida.tekieli@gmail.com,864 107 974,Leszno,64-901,2024-11-04,Meta Ads,True,1971-12-13
182,Michał,Kasperczak,MICHAŁ.KASPERCZAK@GMAIL.COM,352 381 705,Łódź,51-518,2026-01-22,Google Ads,False,1979-10-30
183,Tadeusz,Wacławczyk,tadeusz.wacławczyk@o2.pl,016-824-894,gdynia,75-362,2024-12-14,Meta Ads,True,1958-03-04
184,Ryszard,Karaśkiewicz,ryszard.karaśkiewicz@gmail.com,640944335,Gdynia,77-904,2025-05-19,Organic,False,2000-04-07
185,Natasza,Lesiewicz, natasza.lesiewicz@gmail.com ,275-856-765,Warszawa,69-009,2025-09-03,Google Ads,False,2000-06-30
186,Kornelia,Janke,kornelia.janke@gmail.com,828893696,Warszawa,34-745,2026-01-22,Meta Ads,False,1974-12-25
187,Olga,Zaraś,olga.zaraś@o2.pl,430 220 422,Gdańsk,06-411,2024-11-07,Referral,False,1958-04-22
188,Melania,Kwarciak,melania.kwarciak@onet.pl,,Konin,47-567,2025-05-17,Organic,False,1970-11-22
189,Ernest,Korek,ernest.korek@gmail.com,866662895,Szczecin,58-783,2025-08-25,Newsletter,False,1984-09-26
190,Ignacy,Błądek,ignacy.błądek@wp.pl,411997569,Radom,13-404,2025-10-18,Google Ads,False,1975-05-17
191,Natan,Kozdroń,natan.kozdroń@wp.pl,483595454,Wrocław,47-774,2026-03-01,Meta Ads,False,1963-03-29
192,Apolonia,Gryka,apolonia.gryka@wp.pl,+48 811 524 769,Katowice,65-042,2024-12-26,Meta Ads,False,1957-12-30
193,Sebastian,Feliniak,sebastian.feliniak@wp.pl,739686003,Gdynia,43-824,2026-03-26,Organic,False,1980-09-14
194,Agnieszka,Szurek,agnieszkaszurek@gmail.com,+48 128 653 319,Gdańsk,78-915,2025-12-29,Newsletter,False,1982-12-01
195,Arkadiusz,Niebudek,arkadiusz.niebudek@gmail.com,,Opole,41-167,2025-10-30,Google Ads,False,1976-06-03
196,Radosław,Siebert,radosław.siebert@o2.pl,+48 155 725 556,Łódź,44-520,2025-12-16,Meta Ads,False,1999-06-30
197,Ewelina,Mikołajewicz,ewelina.mikołajewicz@wp.pl,080 091 892,Suwałki,91-577,2025-06-23,Google Ads,True,1971-06-26
198,Kacper,Gęsiarz,kacper.gęsiarz@wp.pl,390 250 380,Łódź,43-690,2024-11-25,Google Ads,False,1961-05-27
199,Urszula,Han,urszula.han@gmail.com,686274847,Wrocław,40-816,2025-12-09,Newsletter,False,2003-03-26
200,Szymon,Niksa, szymon.niksa@o2.pl ,048 124 481,Szczecin,61-272,2025-09-30,Google Ads,False,2006-11-07
201,Elżbieta,Orzeszek,elżbieta.orzeszek@wp.pl,696565355,Wrocław,30-739,2025-11-11,Newsletter,True,1958-04-26
202,Malwina,Forma,malwina.forma@o2.pl,,Warszawa,68-645,2025-04-02,Meta Ads,False,1993-10-26
203,Fryderyk,Radzewicz,fryderyk.radzewicz@interia.pl,,Elbląg,582920,2026-05-30,Google Ads,False,1957-04-08
204,Kamil,Chomiak,kamil.chomiak@gmail.com,+48 544 072 073,Suwałki,03-452,2025-11-15,Google Ads,False,1972-03-21
205,Krystian,Ziółko,krystian.ziółko@wp.pl,+48 791 564 272,Warszawa,89-209,2024-11-28,Newsletter,True,1977-05-06
206,Natasza,Jeżyna,natasza.jeżyna@gmail.com,336 206 611,Katowice,95-745,2025-07-25,Organic,False,1958-11-23
207,Sebastian,Nojek,sebastian.nojek@onet.pl,130-002-909,Opole,27-575,2026-02-13,Meta Ads,True,1972-10-27
208,Malwina,Okła,malwina.okła@gmail.com,944510583,Elbląg,49-322,2026-03-05,Influencer,False,2006-04-20
209,Róża,Słupik,róża.słupik@gmail.com,+48 111 227 834,Wrocław,44-560,2025-08-15,Organic,False,1974-05-16
210,Błażej,Ligas,błażej.ligas@gmail.com,,Opole,62-197,2026-05-14,Meta Ads,False,2006-05-03
211,Konstanty,Jachna,konstanty.jachna@gmail.com,+48 118 191 747,Gdańsk,39-231,2025-02-27,Meta Ads,False,2005-06-30
